 # t =    310.00000461935997     
 x   y   z   vx   vy   vz
    60.20484    20.40528    -6.68460     2.2545E-01  2.9873E-02 -8.0440E-03
    75.03041    25.77291     0.93541     1.6362E-01  1.5342E-01 -2.9164E-02
   124.36268   -11.48003    61.26668     3.7675E-01 -1.2602E-02  1.7186E-01
    26.20608    50.26253    14.97350     1.4081E-01  1.4185E-01  4.6772E-02
  -122.79149    60.32538    45.24608    -3.8639E-01  2.0026E-01  1.5163E-01
    81.90457    13.68546    14.83013     2.3852E-01  7.4954E-02 -1.7410E-02
    63.76563    30.03391    -2.83376     4.4438E-01  4.3398E-02  1.0655E-01
    66.14375    29.32539     0.53414     2.1495E-01 -6.2900E-02 -2.1483E-01
    18.86518     8.04882    -3.69528     1.1470E-01  4.7968E-02  8.1051E-03
    67.08173    26.95320     1.56672     1.5901E-01 -1.2221E-01  6.9612E-03
    64.70965    32.25805    -2.04467     2.7944E-01 -3.9088E-03  1.7015E-01
    36.86154    79.86615   103.80406     1.2351E-01  2.4845E-01  3.2527E-01
   149.50687    37.38365    45.87214     4.4769E-01  1.1370E-01  1.3437E-01
    70.48270    28.30025     1.55440     1.2828E-01  9.1093E-02  1.2886E-02
    64.69761    20.26994    -3.24181     2.3868E-01  1.7574E-01  1.0797E-01
    28.00626    38.92711    38.16109     1.3573E-01  1.3152E-01  9.5923E-02
    66.69153    28.37094     2.82863     3.3974E-01  7.8160E-02 -6.0713E-02
    68.76312    29.16533     2.32806    -5.6376E-02  1.9332E-01  4.0666E-02
    68.36203    28.24730     1.95813     2.9491E-01  3.1532E-01  2.1388E-01
    96.08634    62.16503     0.04705     2.6556E-01  1.4873E-01  1.1591E-02
    65.49752    28.16108     3.89914     2.5762E-01  2.6612E-01  3.3073E-01
    67.76801    25.33014     4.20411     1.3354E-01  1.0213E-01 -2.0941E-02
    68.84701    26.78500     1.13892    -1.3834E-01  1.0789E-01  4.4302E-02
    18.78004    35.46113    48.81581     9.4286E-02  1.0993E-01  1.3628E-01
    73.54161    27.66759    -7.83231     1.1620E-01  9.2872E-02  1.1854E-01
    66.45787    29.90595     4.27370     2.0073E-02  1.4683E-01  2.3358E-01
    68.51758    27.05086     0.28017     2.1030E-01 -4.8876E-02  1.9638E-01
    66.66539    26.87037     2.13722    -1.1240E-02 -1.1870E-01 -2.1719E-01
    76.08795    41.36084    31.85032     2.0609E-01  9.9038E-02  4.1385E-02
    67.95304    25.17737    -0.27434     2.0812E-01  2.2882E-01  8.3852E-02
    66.45121    29.72677     2.68858     1.7740E-01  2.7154E-01 -6.5207E-02
    70.17946    27.23850    -7.64852     2.3693E-01  7.3032E-02  6.5623E-02
    12.94436   -48.15038  -180.05358     3.7927E-02 -1.4620E-01 -5.6072E-01
    71.83102    30.18744     3.36142     1.1624E-01  8.2464E-02  2.1279E-02
    85.83037    22.04289     4.74060     1.7690E-01  1.3286E-01  3.7467E-02
    36.11049    53.30038     6.22237     1.7207E-01  1.3845E-01  2.1679E-04
    66.25272    26.92467     1.50214     4.4733E-01  5.5495E-02 -6.3072E-02
    61.64462    26.35711     5.54754     4.3213E-01  1.6990E-01 -1.0241E-01
    72.63208    28.83564    -5.82231     2.0214E-01  1.0378E-01 -5.0873E-02
    72.98156    55.54375    23.12384     2.2581E-01  1.2135E-01  2.2513E-02
    78.13343    29.66062     5.41276     1.9805E-01  1.4821E-01  6.1819E-02
    21.44803     4.97363    32.01656     1.1186E-01  4.6037E-02  9.4719E-02
    54.13859     7.49559    -0.27297     2.1922E-01  1.3846E-01  1.6419E-02
    67.90143    31.76750     0.11715     1.9522E-01  1.5114E-01 -4.1207E-02
    65.23192    26.69777     2.72309     1.3582E-01 -9.4067E-02 -5.9987E-02
    66.15454   111.85098   121.92346     2.1307E-01  3.5396E-01  3.8480E-01
    71.27693    29.39249     3.06089     3.3023E-01  1.4433E-02 -6.1009E-02
    65.27327    24.79635     1.33415     2.3044E-01  2.7605E-01  9.2411E-02
    66.98923    26.69576     0.44153     2.2069E-01  1.4831E-01  1.0517E-01
    66.45289    28.26083     2.19994     2.9450E-02  3.0401E-01  1.7538E-01
    69.97353    29.50432    -2.32554     2.6091E-01  3.3992E-02  1.4556E-01
    81.17304    25.06251    49.38816     2.0657E-01  1.0072E-01 -1.4287E-02
    67.44489    28.25118     2.88575     2.6591E-01  5.5281E-02  1.4024E-01
    67.50839    27.43733     2.66334     4.0886E-01  4.2277E-02  1.1416E-01
    61.91302    26.47023     3.89811     4.0897E-01  1.7527E-01 -3.2862E-02
    66.01176    27.33094     3.34273     2.1012E-01  1.6003E-02 -3.4673E-02
    47.34853     9.23101    64.88346     1.5949E-01  4.9096E-02  1.7417E-01
    62.20129    19.92418   -10.88544     2.6215E-01  1.4524E-01  8.7983E-02
    75.04230    48.57568   -23.75008     3.1758E-01  4.2646E-01 -3.8570E-01
    61.31479    36.38181    -2.32202     2.6678E-01  1.4283E-02  9.8624E-03
    67.14270    35.79786    -1.51433     2.3175E-01  9.9747E-03 -6.8861E-03
    68.68874    27.57306     2.43853     3.3887E-01 -4.3845E-02 -1.3186E-01
    70.10856    28.90511    -0.12704     2.5505E-01  1.0442E-01 -1.7331E-01
    66.43468    28.36946     1.80749     3.4401E-01 -6.4267E-02 -2.3240E-01
   102.62034    33.13277    88.37366     3.1545E-01  1.0200E-01  2.6156E-01
   189.31997   -57.65630  -108.71750     5.9578E-01 -1.6810E-01 -3.2610E-01
    66.23876    28.58409     0.55801     3.1948E-01 -2.8101E-01  1.2786E-01
    67.50070    29.00396     1.56853     2.2241E-03  2.6744E-01 -1.3967E-02
   -24.92748    59.47700    27.04580    -6.2459E-02  1.9095E-01  8.2466E-02
    70.59918    38.01292    -2.50050     2.2111E-01  6.0320E-02  3.0801E-02
    67.24220    28.49075     1.20473     3.8087E-01 -3.2950E-01  9.3469E-02
    62.47426    24.66691     1.69074     9.7432E-02  1.6310E-01  1.9157E-02
    68.23046    28.55080     4.62247     4.5070E-01  8.4631E-02  6.2171E-02
    68.76930    27.55627     2.26683     1.2163E-01  3.6385E-02  7.5024E-02
    67.32964    27.99430     0.55595     4.9425E-01  1.3500E-01  7.6885E-03
    67.75298    27.93979     2.72003     3.0713E-01  2.9561E-02 -1.8389E-01
    71.13775    29.06256    -4.39353     1.3188E-01 -1.0944E-03  1.9604E-01
   189.78948   130.48123   -68.45179     5.9398E-01  4.1248E-01 -2.0291E-01
   204.04993    63.93423   -13.86858     6.3116E-01  1.9602E-01 -2.9691E-02
    66.89609    25.17977     3.09623    -3.7333E-02 -7.5573E-02  1.1019E-01
    68.35945    26.61402     3.34567     1.9950E-01  2.9003E-01 -1.1470E-01
    70.81942    25.65292     3.84498     1.0015E-01  7.1234E-02 -1.0306E-01
    61.95196    24.37621     0.93730     4.2736E-01  2.2201E-01 -4.9207E-02
    45.10397   -41.53799     2.66526     1.5999E-01 -8.3775E-02  2.2040E-02
    66.05984    27.06801     3.53691     1.6006E-01 -9.7881E-02 -6.3493E-02
    66.12672    26.73366     1.39179     3.2997E-02 -9.1571E-02 -1.1766E-02
    68.17449    29.85139    -0.61050     1.5539E-01  1.1063E-01 -8.8774E-02
    64.93046    28.45525     3.35777     5.5743E-02  1.6536E-01 -1.1845E-01
   221.10471   -90.29872    46.83385     6.9641E-01 -2.7122E-01  1.5486E-01
    67.02587    27.88057     1.47716     8.6420E-02  1.2877E-01 -4.7711E-04
   162.06192    28.58043    28.59550     4.8662E-01  8.9304E-02  8.2146E-02
    67.89691    28.23580     2.18888     1.9273E-01 -5.4751E-02  1.0289E-01
    73.28140    -6.56476    80.41204     2.2658E-01  4.4325E-03  2.3085E-01
    69.05597    27.29630     2.35101     1.0667E-01  1.9598E-01 -1.2040E-01
    66.87776    28.06017     2.14036     2.5997E-01 -1.0465E-01 -1.1219E-01
    64.54952    25.68223     2.34288    -9.3100E-02  1.0080E-01  1.0334E-01
    75.66387    -6.44373   -22.05144     2.6454E-01  4.7240E-02 -2.1875E-02
    67.37060    28.92081     1.88103     5.0124E-01  2.3527E-02 -1.3284E-01
    66.16341    28.10054     2.24489     2.6094E-01  7.9434E-02  1.7874E-01
    63.58912    26.59574    -1.31077     2.2076E-01  5.4348E-02 -1.5059E-01
    68.45566    22.39410     5.14524     1.2183E-01  9.9810E-02 -2.9185E-02
   130.02905    82.59938   -59.70231     3.9285E-01  2.5837E-01 -1.6079E-01
    -9.13793    41.17928    52.98741    -1.6132E-02  1.4143E-01  1.6466E-01
    66.24739    27.76597     3.99233     4.0582E-01  3.3433E-01 -6.6683E-02
    69.50560    22.88492     1.57447     2.5001E-01  6.4153E-02 -3.0016E-02
   -59.57747   -14.99177     8.13224    -1.7407E-01 -3.3552E-02  3.2417E-02
    67.59001    28.86924     3.08073     3.6362E-01  1.9185E-01 -1.2887E-01
   157.36057     8.66643  -136.94664     4.9598E-01  3.4968E-02 -4.1265E-01
    69.09439    24.78008     1.54412     2.5400E-01  1.3459E-02 -1.0973E-01
    66.87284    28.19056     2.08806     1.3719E-01  1.8544E-01 -3.0936E-01
    64.72750    66.20409   -51.44137     2.0802E-01  1.8651E-01 -1.1530E-01
    68.17974    24.40799     4.20166     1.7550E-01  2.3054E-01  5.8513E-02
    66.98995    27.81464     1.98233     3.6540E-01  3.1842E-01  9.2595E-02
    69.07031    26.85439     3.01325    -1.9259E-02  1.9388E-01  2.5250E-02
    67.98350    26.42376     3.61455     3.6758E-01 -1.6013E-02 -3.3462E-02
    28.31912    62.33964    -6.80816     1.3226E-01  1.7583E-01  8.7685E-03
    66.41275    27.22101     4.16765    -1.7540E-01  1.5081E-01  1.1370E-01
     2.10445    -1.66750    42.85939     3.6017E-02  1.5958E-02  1.3521E-01
    67.26455    24.30318     0.56165     3.4433E-01  1.3525E-01 -1.3683E-01
    66.44018    26.82001     2.41413     1.5325E-01 -3.7616E-01  5.7448E-02
    55.13660    42.20306    10.45077     2.5320E-01  4.3381E-02 -4.7908E-03
    66.03574    25.52329     3.06893     2.7981E-01  1.3009E-01 -4.6908E-02
    66.53791    29.38789     2.67873     4.0131E-01  9.6119E-02  2.6118E-01
    64.44713    26.40712     3.05984     3.5826E-01  4.1184E-02 -1.7552E-01
    63.51798    32.12154     9.81964     2.3300E-01  1.3039E-01  5.3093E-02
    65.70927  -112.66288    25.29598     2.0680E-01 -3.3674E-01  9.1131E-02
    67.70721    26.87524     2.39666     3.9998E-01  2.4774E-01  1.5922E-01
    57.42138    32.57699     4.15395     2.8296E-01  5.0516E-02  5.5649E-02
    75.43539    33.22251    16.46962     1.6025E-01  7.6412E-02 -5.3568E-02
    71.05179    25.73139     3.22942     4.1702E-01 -5.6916E-02  1.9889E-01
  -119.56856   132.95200    79.29433    -3.8420E-01  4.3114E-01  2.6267E-01
    65.37679    31.10849     2.83791     2.2071E-01  3.6263E-01 -1.0165E-01
    67.89603    28.51087     2.17930     3.0033E-01 -1.3156E-01  9.4847E-03
    67.74588    26.11632    -2.36037     1.6196E-01 -2.8551E-02 -8.0061E-03
    66.03185    28.45885     0.28902     2.1935E-01  2.3407E-02 -4.6779E-02
    69.96822    26.23904    -0.10820     8.0937E-02  6.7160E-02 -7.2874E-02
    72.98558   109.94734    77.29063     2.2463E-01  3.3456E-01  2.4561E-01
    65.89191    29.73664     2.22373     4.0489E-01  2.0418E-01 -1.2244E-02
    91.79418    25.49903     3.81172     1.9234E-01  5.1302E-02  1.3118E-02
    69.74009    45.32827   -24.88840     1.9981E-01  1.0172E-01  4.8823E-03
    65.99086    28.48417     0.19766     8.7522E-02  1.0348E-01 -6.4039E-02
    77.97209    31.47711     2.06969     3.0500E-01  1.6633E-01 -4.7564E-04
    68.46413    29.56713     2.33513     8.6007E-02  8.6422E-02  1.1250E-01
    72.06810    19.97394     1.93736     1.4550E-01  2.5990E-01 -1.5412E-02
    67.09783    28.53191     2.21587     4.7812E-01  3.2916E-01 -4.7521E-02
    65.89808    26.67244     2.66452     2.7130E-01  1.1276E-01 -1.1370E-01
   -75.34347   -12.55477   316.96578     9.3040E-02  6.4278E-02  2.5887E-01
    59.12177    25.31120    -1.03930     2.1955E-01  1.2021E-01 -1.6005E-02
    54.11556    42.93604   -64.34077     1.7371E-01  1.4246E-01 -1.5683E-01
    70.13852    18.16232     4.97003     2.4922E-01  1.5731E-01 -2.5407E-02
    65.73858    25.63936     2.72544     2.6583E-01  5.6450E-02 -6.6023E-02
    15.51934   -61.08142     5.10841     6.5042E-02 -1.6250E-01  1.9666E-02
    69.54922    29.20737     3.24664     2.0023E-01 -1.0181E-01 -5.1781E-02
    67.18027    28.73273     2.41470     2.3941E-01  1.4087E-01  3.3658E-02
    60.09946    24.99801    24.07898     2.1172E-01  9.9368E-02 -3.3161E-02
    43.64447    90.93648   -69.14815     1.4614E-01  2.7410E-01 -1.9036E-01
    66.29570    30.00146     0.85013     1.7628E-01  3.2617E-01  2.1190E-02
    64.09102    27.29852     1.91310     3.4985E-01  1.0165E-01 -1.5983E-01
    65.08642    24.97415     1.34856     1.7434E-02  1.8853E-01 -1.7308E-02
    74.01267    25.63306     5.96381     2.6984E-01  4.9775E-02  2.9039E-02
    69.03658    30.31756     4.96170     1.8648E-01  9.2982E-02  3.2861E-01
    77.77693    16.63667    -6.40064     2.8689E-01  3.3093E-02 -7.5948E-03
    87.17536   -91.03025   190.51966     2.7479E-01 -2.7616E-01  6.1292E-01
    69.57441    32.07322    -1.76944     3.3952E-01  9.6095E-02 -1.1879E-01
    66.17366    23.00566    -0.23217     2.3715E-01  3.9770E-02  2.1068E-02
    72.13866    31.49656    12.28769     1.3130E-01  6.3683E-02 -1.0634E-01
    65.61029    27.58479     3.06792     2.2873E-01  1.4677E-01  3.9577E-01
    65.35325    23.30553    -3.50895     1.4959E-01  7.1871E-02 -3.6163E-03
    65.80146    28.02155     2.11403     2.0945E-01 -1.8281E-01 -2.5208E-02
    68.11506    31.65757     3.78157     3.6655E-01  1.3939E-01 -5.8346E-03
    64.04743    27.32161     1.31181     1.6302E-01  1.3134E-01  3.0124E-02
   -97.26662  -147.22125  -138.98015    -3.1261E-01 -4.6227E-01 -4.3437E-01
    65.56516    23.91497     4.35068     2.3177E-01  9.5924E-02 -2.7323E-02
    66.57757    28.82355     1.74691     2.3054E-01  8.8569E-02 -1.9250E-01
    66.56472     4.90401    42.21587     2.2517E-01  5.3499E-02  8.1200E-02
    64.15766    38.42344     9.63096     2.1733E-01  1.6287E-01  1.1871E-02
    63.84793    23.82673    -0.82980     1.9204E-01  1.6646E-01  3.8385E-02
    62.84973    27.79343    11.31312     3.4809E-01  5.5802E-02 -1.0013E-01
    66.64660    28.68768     3.25453     4.3207E-02 -9.6215E-02 -7.4689E-02
    66.37467    24.98501     2.52638     2.0086E-01  5.1190E-02  1.7193E-01
    57.00796  -116.50746   -21.07654     1.8025E-01 -3.4853E-01 -5.6234E-02
    94.35043  -216.53364    -5.13648     2.9817E-01 -6.7877E-01 -8.1627E-03
    66.77229    26.68170     1.15843     2.3988E-01  2.2553E-01 -2.1610E-02
    67.45986    25.57567     3.65273     2.3877E-01  3.3062E-02 -2.2945E-01
    67.62874    27.66188     0.67535     2.6531E-01  2.0516E-02  4.3436E-02
    27.31020    51.40791    13.93007     1.3856E-01  1.4930E-01  2.2834E-02
   -95.21129    24.79499    98.65722    -2.9921E-01  8.6570E-02  3.2197E-01
    69.68866    27.67673     1.17674     4.3422E-01  1.0128E-01 -2.5392E-02
    66.43851    20.55936     9.62218     2.4735E-01 -2.2969E-02  1.5161E-01
    68.06654    27.28767     2.46064    -4.6524E-03  6.2995E-02  8.5338E-02
   -13.11553    24.61696   109.37654    -3.2637E-02  8.4593E-02  3.4106E-01
    65.21169    26.35101     2.09177     1.2699E-01  1.7213E-01  1.0758E-01
    61.48113    29.53411     7.04700     2.2445E-01  7.3886E-02 -1.1998E-01
  -142.95796   -45.09364    22.08874    -4.5357E-01 -1.3514E-01  7.6464E-02
    68.25405    24.65707     0.83861     1.3583E-01  5.0252E-02 -1.2994E-01
    65.69421    27.84615     0.07906     2.0999E-01  5.9619E-02  8.2678E-02
    67.22125    27.51826     1.40798     4.7198E-01  1.7754E-02  1.4195E-01
    68.89022    30.44849     1.99351     5.9987E-02  2.5187E-02  1.4914E-01
    72.83617    21.78329     0.24609     2.1294E-01  1.5268E-01 -1.8279E-02
    66.19063    27.05646     1.94884     4.2617E-02  1.3283E-01  2.6744E-01
    67.45625    27.37271     2.88131    -1.1822E-01  1.5636E-01 -1.7907E-01
    43.95378   185.48641    20.00009     1.4206E-01  5.8750E-01  7.2831E-02
    63.93019   -28.70472   -46.17187     2.1193E-01 -4.4006E-02 -1.1155E-01
    85.86083    43.13927   -40.10810     2.4378E-01  1.2505E-01 -6.3126E-02
