  t            KE            PE            E            KE/PE
    0.000000    0.203238   -0.203499   -0.000260   -0.998722
   10.000000    0.090105   -0.089575    0.000530   -1.005920
   20.000000    0.070378   -0.069804    0.000574   -1.008226
   30.000000    0.064513   -0.063877    0.000636   -1.009964
   40.000001    0.063579   -0.062865    0.000713   -1.011347
   50.000001    0.064375   -0.063516    0.000859   -1.013525
   60.000001    0.064470   -0.063503    0.000967   -1.015227
   70.000001    0.064162   -0.063077    0.001085   -1.017207
   80.000001    0.063768   -0.062585    0.001183   -1.018894
   90.000001    0.063712   -0.062422    0.001290   -1.020661
  100.000001    0.063442   -0.062051    0.001391   -1.022421
  110.000002    0.063176   -0.061707    0.001470   -1.023817
  120.000002    0.062963   -0.061418    0.001545   -1.025150
  130.000002    0.063030   -0.061386    0.001644   -1.026784
  140.000002    0.063395   -0.061662    0.001733   -1.028107
  150.000002    0.063639   -0.061744    0.001894   -1.030678
  160.000002    0.063488   -0.061513    0.001975   -1.032110
  170.000003    0.063226   -0.061169    0.002057   -1.033630
  180.000003    0.063170   -0.060954    0.002216   -1.036356
  190.000003    0.063079   -0.060796    0.002284   -1.037561
  200.000003    0.062893   -0.060536    0.002357   -1.038933
  210.000003    0.062792   -0.060363    0.002429   -1.040246
  220.000003    0.062926   -0.060436    0.002490   -1.041197
  230.000003    0.063239   -0.060675    0.002564   -1.042265
  240.000004    0.063331   -0.060671    0.002659   -1.043829
  250.000004    0.063468   -0.060698    0.002770   -1.045640
  260.000004    0.063342   -0.060498    0.002844   -1.047014
  270.000004    0.063161   -0.060230    0.002931   -1.048668
  280.000004    0.063023   -0.060022    0.003001   -1.049995
  290.000004    0.062804   -0.059740    0.003063   -1.051280
  300.000004    0.062676   -0.059487    0.003189   -1.053610
  310.000005    0.062639   -0.059375    0.003264   -1.054968
  320.000005    0.062743   -0.059388    0.003355   -1.056497
  330.000005    0.062883   -0.059440    0.003443   -1.057926
  340.000005    0.062910   -0.059368    0.003542   -1.059663
  350.000005    0.062825   -0.059194    0.003631   -1.061334
  360.000005    0.062505   -0.058775    0.003730   -1.063463
  370.000006    0.062214   -0.058412    0.003803   -1.065100
  380.000006    0.061957   -0.058086    0.003871   -1.066646
  390.000006    0.061994   -0.058032    0.003961   -1.068263
  400.000006    0.062000   -0.057976    0.004024   -1.069404
  410.000006    0.061783   -0.057694    0.004089   -1.070882
  420.000006    0.061402   -0.057245    0.004157   -1.072613
  430.000006    0.061269   -0.056982    0.004287   -1.075230
  440.000007    0.061068   -0.056753    0.004315   -1.076026
  450.000007    0.060907   -0.056515    0.004392   -1.077713
  460.000007    0.060651   -0.056209    0.004443   -1.079037
  470.000007    0.060372   -0.055854    0.004518   -1.080889
  480.000007    0.060316   -0.055735    0.004581   -1.082186
  490.000007    0.060106   -0.055470    0.004636   -1.083581
  500.000007    0.059964   -0.055265    0.004699   -1.085031
