 # t =    270.00000402331352     
 x   y   z   vx   vy   vz
    50.00598    20.85465   -20.24761     8.4081E-02 -2.5506E-02 -1.6323E-01
    61.75909    10.38424   -14.46609     1.3378E-02 -2.5914E-01  2.5016E-01
   117.21282   -11.59358    57.95595     4.0080E-01 -1.2999E-02  1.9110E-01
    22.88063    41.23508    10.20009     1.3560E-01  1.0200E-01  2.7634E-02
  -110.27075    51.17069    40.22153    -3.9387E-01  1.9499E-01  1.5412E-01
    75.44208    11.99945    -2.62696     2.1577E-01  4.5425E-02 -1.2451E-01
    61.54292     8.74026   -10.80903     4.6956E-01 -1.0279E-02 -2.2746E-01
    62.01766    -0.36205   -12.36961     1.3923E-01  5.0842E-02  1.1409E-02
    24.40392    12.30454    14.09266     1.0235E-01  8.3633E-02  1.9254E-01
    61.31405     9.44341   -15.12273     2.2434E-01  7.6818E-02 -1.4442E-02
    63.69708    18.90370     0.53349     2.1675E-01  1.9971E-02 -1.5939E-01
    34.28281    73.82532    93.58926     1.2978E-01  2.6140E-01  3.3252E-01
   137.82004    39.17931    28.69237     4.6328E-01  1.4486E-01  8.7844E-02
    64.12337    10.08936   -15.42459     2.1645E-01 -6.4986E-05 -6.5872E-02
    59.20062    27.26711     2.68965     2.3422E-01  4.6196E-02 -1.1323E-01
    35.46031    30.96629    24.34126     1.6838E-01  1.0306E-01  3.0454E-02
    61.53299    10.31343   -14.70611     4.5508E-01 -1.1015E-01 -1.6559E-01
    60.31699     5.76121   -15.11103     3.4002E-01  7.7354E-02 -1.1531E-01
  -121.97656   -48.07466     1.87716    -4.4645E-01 -1.6529E-01  1.4484E-02
   105.22653    53.75043    -5.21527     3.4595E-01  1.4675E-01 -9.7198E-03
    70.00503    18.79389    26.98544     3.0936E-01  8.0092E-02  1.7439E-01
    59.84428    16.54496   -12.79533     2.6472E-01  3.1367E-02 -7.2417E-02
    59.69511     8.39012   -13.62950    -2.2448E-02 -1.1922E-01  5.9690E-02
    -8.95419    42.12603    63.34905    -9.0493E-03  1.4782E-01  2.1586E-01
    55.78307    21.57663     5.13507     5.7888E-02  1.1092E-02  2.7786E-02
    63.91153    12.55066   -14.54974    -5.2744E-03 -9.8242E-02  7.9995E-02
    61.70011     9.22986   -13.96258     6.1894E-02  1.8733E-01  1.4605E-01
    88.15620    -2.81791     0.34895     5.2128E-01 -1.2770E-01  9.0545E-02
    70.13869    32.06955    15.08015     2.0310E-01  7.1852E-02 -1.8901E-02
    62.07320    11.62171   -12.28580     1.1352E-01 -4.1789E-02 -4.9835E-02
    62.21155     9.28708   -14.66136     2.9342E-02  4.1069E-02  1.4910E-01
    59.59356    12.80558   -15.77189     1.9083E-01  5.4195E-02 -1.9437E-01
    16.88588   -37.11836  -152.85140     5.8095E-02 -1.2504E-01 -5.3833E-01
    63.09586     8.01670   -17.48235     1.1522E-01  1.3938E-01  1.1868E-01
    49.55031    32.12781    -4.17131     3.3993E-02  1.0108E-01 -4.3626E-02
    36.22938    40.84703     2.78111     1.8013E-01  9.0870E-02 -2.4296E-02
    60.34671    10.00840   -13.02215     1.1941E-01  1.4259E-02 -2.5390E-01
    46.52001    17.82118    -7.20910     2.6207E-01  8.8844E-02 -1.5457E-01
    53.54637     6.19337   -11.25694     3.0944E-01  1.4098E-02 -1.3370E-02
    70.85876    39.45821    11.35776     2.3971E-01  7.9665E-02 -2.6406E-02
    72.77565     9.52103   -13.87054     2.6739E-01  5.2966E-02 -2.5271E-02
    40.52061    16.57814    -3.01920     1.9190E-01  1.0536E-01 -1.1219E-01
    50.68047    11.29423    -6.59771     2.4567E-01  1.9786E-01 -3.8801E-02
    60.90316     8.52496   -13.96426     2.8452E-01 -1.6543E-01  1.1584E-01
    62.99878    10.93278   -14.97589     2.1767E-01  1.3520E-01  7.0476E-02
    59.05456    96.29706   102.68952     2.1765E-01  3.4612E-01  3.6653E-01
    63.08799    10.12120   -13.91590     1.3421E-01 -1.9286E-01 -2.9392E-01
    25.65976    13.47998    -4.06481    -1.7064E-02  2.9287E-02  4.5477E-03
    62.15999     9.42398   -13.69358     2.7735E-01  1.4205E-01 -8.1527E-02
    64.62181     5.95065   -18.12602     1.4059E-01 -8.1810E-02 -1.2731E-01
    66.86285     4.55734    -8.02361     1.2262E-01  3.2272E-02 -3.4343E-02
    71.97195    21.73410    45.93840     1.9479E-01  1.0445E-01 -2.3590E-02
    61.97156    11.04108   -12.35290     1.6161E-01 -1.1094E-01  1.1978E-01
    61.50026     9.43665   -15.42536     5.9192E-02 -3.4246E-02 -5.9148E-02
    52.14312    10.36416   -14.43885     2.3583E-01  3.7264E-02 -6.1623E-02
    60.85750     8.85463   -14.70997     1.4260E-01 -2.1802E-01 -1.6741E-01
    43.79585     7.39539    58.07293     1.6165E-01  4.9430E-02  1.6729E-01
    79.63851    21.20738    -0.55672     3.8124E-01  6.7009E-02 -5.5478E-03
    61.22474    10.08262   -13.35293     3.2407E-02  2.3700E-01 -8.7308E-02
    40.25381    38.74815     7.11286     5.1529E-02  1.6983E-01  4.4084E-02
    64.40419     9.28931    -9.70849     1.8401E-01  5.7646E-02  3.8811E-02
    62.77746    10.80745   -14.77473     8.3910E-02  1.9737E-04 -2.1057E-01
    59.01997     6.31808   -12.64890     1.9960E-01  1.1923E-01 -3.5238E-02
    60.47437    10.05420   -12.37404     4.7576E-02  1.7485E-01  7.6408E-02
    91.75766    29.93847    70.41151     3.1711E-01  1.0593E-01  2.2797E-01
   159.62298   -40.90529   -86.78756     5.6848E-01 -1.2879E-01 -2.9374E-01
    84.14711    33.97904    15.31342     3.7197E-01  1.7172E-01  9.1234E-02
    60.57358    13.03176   -13.39376     1.2250E-01 -1.0230E-01  8.6648E-02
   -15.43888    52.85993    23.74248    -2.9035E-02  1.7960E-01  7.4128E-02
    73.67487    20.50856   -37.89944     2.8264E-01  2.7648E-02 -2.1500E-01
    65.78171    13.44586   -13.47898     2.8628E-01 -1.4795E-02 -7.6417E-02
    85.97636    10.76549   -13.36471     2.7919E-01 -3.9309E-02 -8.5589E-02
    60.80693     9.02841   -14.69319     1.3902E-01 -2.8903E-01  9.7352E-02
    62.69641     8.22909   -14.23619     2.2190E-01 -1.3981E-01 -1.0376E-01
