  t            KE            PE            E            KE/PE
    0.000000    0.203238   -0.206455   -0.003216   -0.984421
   10.000000    0.090236   -0.092636   -0.002401   -0.974085
   20.000000    0.071073   -0.073399   -0.002326   -0.968314
   30.000000    0.065783   -0.068064   -0.002282   -0.966476
   40.000001    0.065489   -0.067710   -0.002220   -0.967211
   50.000001    0.067156   -0.069262   -0.002106   -0.969599
   60.000001    0.068216   -0.070165   -0.001949   -0.972222
   70.000001    0.068902   -0.070714   -0.001812   -0.974370
   80.000001    0.070052   -0.071767   -0.001714   -0.976116
   90.000001    0.072104   -0.073701   -0.001598   -0.978323
  100.000001    0.076224   -0.077697   -0.001474   -0.981034
  110.000002    0.081366   -0.082732   -0.001366   -0.983484
  120.000002    0.076307   -0.077519   -0.001212   -0.984367
  130.000002    0.070667   -0.071792   -0.001125   -0.984323
  140.000002    0.066152   -0.067156   -0.001004   -0.985051
  150.000002    0.062935   -0.063824   -0.000890   -0.986062
  160.000002    0.060620   -0.061419   -0.000799   -0.986985
  170.000003    0.059034   -0.059723   -0.000689   -0.988465
  180.000003    0.057771   -0.058380   -0.000609   -0.989569
  190.000003    0.056789   -0.057338   -0.000549   -0.990429
  200.000003    0.056026   -0.056501   -0.000475   -0.991594
  210.000003    0.055447   -0.055865   -0.000418   -0.992519
  220.000003    0.054955   -0.055327   -0.000372   -0.993281
  230.000003    0.054644   -0.054956   -0.000311   -0.994333
  240.000004    0.054549   -0.054803   -0.000254   -0.995366
  250.000004    0.054417   -0.054573   -0.000155   -0.997152
  260.000004    0.054160   -0.054248   -0.000089   -0.998368
  270.000004    0.053748   -0.053770   -0.000022   -0.999584
  280.000004    0.053427   -0.053367    0.000060   -1.001129
  290.000004    0.053122   -0.052990    0.000132   -1.002500
  300.000004    0.052838   -0.052667    0.000172   -1.003260
